condition,kind,gap,rep_strength,info_level,round,lambda_hat,lambda_lo,lambda_hi,bayes_w,oracle
gap5.0_moderate_lean,main,5.0,moderate,lean,14,0.43047636729930117,0.3076756744089668,0.5592550230747702,0.9264361517949011,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,15,0.5376250228808371,0.4528992516242439,0.6373140116087561,0.9282589617405932,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,16,0.40410760260505535,0.296526841917912,0.5287979352598937,0.9304992622248622,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,17,0.6052816109756736,0.5051194392648648,0.701916569006208,0.9323966018460229,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,18,0.5125947801686281,0.40165266062478355,0.6316672075493603,0.9347979852982362,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,19,0.5638615687790746,0.4605126246312859,0.6589925587052694,0.9360276638359142,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,20,0.43457346847922507,0.31804532585096784,0.585158470936742,0.9372694013700616,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,21,0.5405933233425249,0.49438366179980686,0.598316661910582,0.9374372208329772,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,22,0.45702696915960256,0.2587479127310278,0.6639417240537795,0.9390795838219186,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,23,0.3890330584455861,0.28141571529834575,0.49992084687425864,0.9406168288938319,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,24,0.39401965506145414,0.2753742795464405,0.5318639571464057,0.9415630099433144,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,25,0.5635241193093867,0.4593346838349867,0.6785305122245259,0.9430795947642231,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,26,0.6755502279233168,0.5521818899544819,0.7604290092299475,0.9442255767704676,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,27,0.5277119563030713,0.4270114553479413,0.6123223620154513,0.9446684048971585,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,28,0.4235008317843747,0.2976688166217114,0.5324133118551153,0.9458311616993564,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,29,0.4926567301506911,0.3674737070911332,0.5903822237303837,0.9462972536804586,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,30,0.5904792791051647,0.47376344723406244,0.6879106569227957,0.9471667115583149,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,31,0.5921337469344068,0.5173603821190399,0.6955439540726451,0.9483724094895832,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,32,0.5481842391578913,0.43313208915245893,0.6419873183102359,0.9486120510644216,0.9615384615384616
gap2.0_faint_lean,rep,2.0,faint,lean,1,0.4869090135795241,0.4637079409384983,0.5038851229947366,0.10000000000000002,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,2,0.3476992756210642,0.22636997759307864,0.47410400594065616,0.2561824199719177,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,3,0.46159059883514564,0.42569699882479445,0.4902417036959748,0.3483291412387347,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,4,0.4355425675166742,0.35577958773838747,0.5073756813494384,0.415189255719649,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,5,0.4963779839110733,0.4287203383353305,0.5919453707376471,0.4811532689711152,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,6,0.4282110389976179,0.3719875391171568,0.48159206859220516,0.5369863912636914,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,7,0.3914186063325088,0.32459029142902995,0.4583062910957156,0.5717805888590287,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,8,0.4108370497542145,0.35661509343775555,0.46946592040609103,0.6004090044446749,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,9,0.47865706868915336,0.39883702871072424,0.5572683281302637,0.6275131046290483,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,10,0.5062858343694462,0.4150255544982615,0.588050805557207,0.6479961637514361,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,11,0.5077693229122389,0.4488338858494726,0.5595457282910908,0.6578430683033762,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,12,0.4542545010378932,0.41031607683385163,0.49723742776086927,0.670414824896609,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,13,0.3742794608942687,0.3046410332478119,0.4682698592022395,0.6785286425063164,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,14,0.3893858578006804,0.2906159961974558,0.476399562669952,0.6843886703863626,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,15,0.4324731034997037,0.3746836063539734,0.49473309757517586,0.6891214988284556,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,16,0.4244845618355586,0.34647453053406885,0.5153269381942093,0.6951803460552843,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,17,0.44423576863380293,0.31431317273492715,0.545023671335922,0.7006751245912504,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,18,0.4391782085021111,0.3630858573062634,0.5100481978848929,0.70752578265779,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,19,0.512132431469448,0.48051788440849175,0.5469929456250251,0.7111582595509723,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,20,0.48962520441098023,0.4161317807790021,0.579027514095562,0.7149188826358625,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,21,0.47255601665281016,0.4503547792999405,0.4938899567854141,0.7152017127795021,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,22,0.3754448264922812,0.22262436154237583,0.5255387626646203,0.7201453623146964,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,23,0.4741227374148171,0.40750419187749376,0.5232159449343985,0.7250047747187868,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,24,0.36199557356602885,0.26342380812915484,0.46988010960802484,0.7278375494939505,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,25,0.4509666488276729,0.38812279125132065,0.5190251886113971,0.7329200429218161,0.7999999999999999
