condition,kind,gap,rep_strength,info_level,round,lambda_hat,lambda_lo,lambda_hi,bayes_w,oracle
gap3.0_moderate_lean,main,3.0,moderate,lean,16,0.7199498185632942,0.6862819589007755,0.7503811912547158,0.8326652784424127,0.9
gap5.0_moderate_lean,main,5.0,moderate,lean,1,0.2468968556523457,0.21776290282316943,0.27362965390117194,0.10000000000000002,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,2,0.6447627601949057,0.06827062142501764,0.8039040518864028,0.540690652248166,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,3,0.7625145231951961,0.7277681387762996,0.8094525133046049,0.7067545640472707,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,4,0.8305202892888194,0.7857124865241749,0.8829065014598868,0.8005054545452512,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,5,0.8099489041197429,0.7269474784737366,0.8751669993230974,0.8473112367641831,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,6,0.7866682375787462,0.7512655827654962,0.8265683094761803,0.863136297064867,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,7,0.8256945406226066,0.7960735944374341,0.8523215577923179,0.8777840766359473,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,8,0.794940639805864,0.751388460682574,0.8384598324265543,0.8930445154383543,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,9,0.7918797459855895,0.7610880683461294,0.8177895566359131,0.8997928118827583,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,10,0.7814714045437061,0.7345854663530768,0.8278281084881572,0.9084795313429961,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,11,0.7851786636762623,0.7399130739491131,0.8220563975600532,0.9135623233984361,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,12,0.840649704760278,0.6706214459106055,0.9298777038215976,0.9174551790526267,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,13,0.7895042201636633,0.755986170460089,0.8235420543258588,0.9213769513127202,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,14,0.76815296355056,0.7078954047234005,0.8107935148589485,0.9261105086400706,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,15,0.7954946842617879,0.7600918157345438,0.8320529913409095,0.928202756740483,0.9615384615384616
gap5.0_moderate_lean,main,5.0,moderate,lean,16,0.78498879631759,0.7602067057036519,0.8119436897155642,0.9311759152909247,0.9615384615384616
gap2.0_faint_lean,rep,2.0,faint,lean,1,0.26028514954222,0.23394629303818487,0.2852430426891527,0.10000000000000002,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,2,0.5641143984161813,0.4218575255030498,0.7161163733314596,0.2601908726648657,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,3,0.6292912899562868,0.5652616766256702,0.6864776359501462,0.36220952347453406,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,4,0.7326937715111772,0.653169811264607,0.814023109217326,0.45618104795116904,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,5,0.6461580250507181,0.5841625787046294,0.7445776206544642,0.5191454403110911,0.7999999999999999
gap2.0_faint_lean,rep,2.0,faint,lean,6,0.6172945024895802,0.5027350301534329,0.7379426583771441,0.5432067209212883,0.7999999999999999
